,Domestic,International,WorldWide,imdbId
145,34693481.0,78800000.0,113493481.0,113492
146,17014653.0,,17014653.0,113500
147,7412216.0,,7412216.0,113540
148,1111790.0,,1111790.0,113677
149,13294422.0,,13294422.0,113690
150,542985.0,,542985.0,107447
151,15453274.0,,15453274.0,113729
152,2122561.0,,2122561.0,113749
153,38187431.0,28245763.0,66433194.0,113820
154,1125910.0,,1125910.0,110604
155,443169.0,,443169.0,110620
156,50727965.0,59900000.0,110627965.0,113957
157,69684532.0,68825698.0,138510230.0,113986
158,472370.0,,472370.0,114095
159,16115878.0,,16115878.0,114194
160,,,,114241
161,512245.0,,512558.0,114323
162,10382407.0,,10382407.0,114345
163,20350754.0,7870.0,20360858.0,114436
164,8367636.0,,8367636.0,114478
165,50865589.0,,50865589.0,114496
166,60074103.0,53300000.0,113374103.0,114508
167,7959291.0,,7959291.0,114558
168,28030.0,70833.0,98863.0,58450
169,7027517.0,,7027517.0,114663
170,340139.0,,340139.0,114702
171,36474193.0,11300000.0,47774193.0,114682
172,50024083.0,54300000.0,104324083.0,114781
173,7929434.0,,7929434.0,114798
174,2875086.0,,2875086.0,114805
175,50008143.0,,50008143.0,114887
176,88246220.0,175972000.0,264218220.0,114898
177,3734870.0,,3734870.0,114928
178,2193982.0,,2193982.0,114938
179,487391.0,,487391.0,109340
180,7919823.0,,7919823.0,112602
181,2302338.0,11123.0,2313461.0,111579
182,763847.0,,763847.0,110882
183,5535405.0,451981.0,5992494.0,112471
184,25588734.0,900000.0,26488734.0,112508
185,,,,112438
186,23440188.0,,23440188.0,112571
187,2568425.0,,2568425.0,112757
188,,,,112643
189,23389975.0,,23389975.0,112679
190,3151130.0,,3151130.0,109445
191,22150451.0,46642080.0,68792531.0,112883
192,83015089.0,131000000.0,214015089.0,109635
193,28735315.0,,28735315.0,109676
194,1176982.0,,1176982.0,112854
195,3103716.0,,3103716.0,109579
196,24361867.0,,24361867.0,109642
197,127190327.0,120100000.0,247290327.0,109686
198,7294403.0,,7294403.0,111797
199,4221036.0,,4221036.0,109759
200,6841570.0,,6841570.0,109758
201,5887457.0,268.0,5887725.0,109707
202,38896854.0,63086000.0,101982854.0,113117
203,33177694.0,,33177694.0,113097
204,11642946.0,,11642946.0,113028
205,35348597.0,,35348597.0,113198
206,12201255.0,,12201255.0,113303
207,3987768.0,,3987768.0,113089
208,1573411.0,26815.0,1600226.0,109771
209,3941146.0,,3941146.0,113199
210,7830611.0,4000000.0,11830611.0,110057
211,3049135.0,815.0,3049950.0,110005
212,26325256.0,,26325256.0,110066
213,9914409.0,,9914409.0,110116
214,17689177.0,,17689177.0,110006
215,6609661.0,,6609661.0,113360
216,26381221.0,,26381221.0,110099
217,105264608.0,118400000.0,223664608.0,110148
218,2473668.0,,2473668.0,113463
219,7557877.0,,7557877.0,110189
220,36763355.0,71668000.0,108431355.0,110216
221,36853222.0,,36853222.0,113501
222,13406717.0,,13406717.0,113538
223,14942422.0,,14942422.0,113552
224,460998507.0,195751992.0,775398007.0,76759
225,50083616.0,,50085123.0,110367
226,10015449.0,,10015449.0,113670
227,152457.0,,152457.0,110296
228,21665468.0,78733.0,21744201.0,103994
229,66638883.0,94000000.0,160638883.0,110322
230,29412050.0,700000.0,30112050.0,110443
231,3267313.0,,3267313.0,107566
232,18272894.0,,18272894.0,110391
233,7603766.0,,7603766.0,113691
234,15238689.0,,15238689.0,110428
235,22006296.0,90000000.0,112006296.0,109836
236,40070995.0,,40070995.0,113755
237,6821850.0,,6821850.0,110538
238,18137661.0,,18137661.0,110516
239,17320136.0,28944248.0,46264384.0,110527
240,5221281.0,,5221281.0,113808
241,11079373.0,,11079373.0,113896
242,17381942.0,,17381942.0,113870
243,39491975.0,,39491975.0,110684
244,33683817.0,73000000.0,106683817.0,110638
245,3565508.0,,3565508.0,113967
246,,,,117169
247,,,,106402
248,,,,110671
249,50282766.0,797.0,50284739.0,110632
250,20059210.0,,20059210.0,110737
251,1608570.0,,1608610.0,110729
252,,,,114151
253,67659560.0,122200000.0,189859560.0,114069
254,19501238.0,67987.0,19570198.0,110413
255,2832826.0,,2832826.0,114113
256,345972.0,,345972.0,114210
257,107928762.0,106000000.0,213928762.0,110912
258,152322.0,,152322.0,105652
259,4165845.0,,4165845.0,110889
260,24822619.0,,24822619.0,110932
261,1238905.0,,1238905.0,114129
262,1304237.0,14341.0,1318578.0,110963
263,18636537.0,,18636537.0,114214
264,12096881.0,,12096881.0,114296
265,11300653.0,,11300653.0,110907
266,3581969.0,52477.0,3634446.0,111495
267,1324974.0,178969.0,1506407.0,108394
268,1237219.0,22387.0,1259606.0,111507
269,,,,114268
270,,,,110965
271,912082.0,,912082.0,114571
272,9771658.0,,9771658.0,111333
273,6159269.0,,6159269.0,111112
274,57362582.0,113000000.0,170362582.0,111255
275,71567262.0,125000000.0,196567262.0,111282
276,145539357.0,45000000.0,190539357.0,111070
277,28767189.0,117527.0,28904232.0,111161
278,2079569.0,6306549.0,8386118.0,111149
279,102780.0,,102780.0,108260
280,2080805.0,6764.0,2087569.0,106966
281,382928.0,,382928.0,114594
282,766464.0,,766464.0,111309
283,4686937.0,,4686937.0,113936
284,2332728.0,,2332728.0,110081
285,4064495.0,,4064495.0,114614
286,21089146.0,,21089146.0,114608
287,75671125.0,42400000.0,118071125.0,111280
288,11837928.0,,11837928.0,114609
289,538534.0,,538534.0,111454
290,9418365.0,,9418365.0,114852
291,32679899.0,,32679899.0,114694
292,1746050.0,,1746050.0,111590
293,536023.0,,536023.0,114788
294,6014341.0,,6014341.0,114888
295,10032765.0,,10032765.0,108550
296,24047675.0,,24047675.0,114857
297,81057016.0,101000000.0,182057016.0,114924
298,16928556.0,,16928556.0,111667
299,759393.0,,759393.0,109655
300,15119639.0,365959.0,15486048.0,110598
301,9685976.0,,9685976.0,112435
302,72217396.0,35000000.0,107217396.0,109040
303,11220670.0,42565.0,11270255.0,109045
304,2392589.0,,2392589.0,106339
305,1862805.0,,1862805.0,104779
306,13383747.0,,13383747.0,109348
307,122187717.0,93700000.0,215887717.0,109444
308,92115211.0,25500000.0,117615211.0,109446
309,20164171.0,,20164171.0,109484
310,13642861.0,,13642861.0,109504
311,50693129.0,1542.0,50694671.0,109506
312,1007583.0,,1007583.0,109450
313,130531208.0,211100000.0,341631208.0,109813
314,330455270.0,347771195.0,678226465.0,109830
315,52700832.0,193000000.0,245700832.0,109831
316,38290723.0,,38290723.0,113305
317,1760527.0,,1760527.0,110091
318,30806194.0,,30806194.0,110093
